"","Year","Player","Salary","Pos","Age","G","GS","MP","PER","TS%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OWS","DWS","WS","WS/48","OBPM","DBPM","BPM","VORP","FG%","3P%","2P%","eFG%","FT%","ORB","DRB","AST","STL","BLK","TOV","PF","PTS","bpm","team_ts","tm_ts_w_o_plyr","defense","val_shot","offense","raw_spm","exp_bpm","truetalentbpm","truetalentvorp"
"1623",1993,"Litterial Green",0.0159083678014636,"PG",22,52,4,12.0384615384615,11.6,0.489,0.051,0.485,2.1,3.9,3.1,27.2,1.8,0.4,14.9,19.4,0.4,0.5,0.8,0.064,-2.2,-2.6,-4.8,-0.4,0.439,0.1,0.457,0.442,0.625,0.211538461538462,0.442307692307692,2.23076923076923,0.442307692307692,0.0769230769230769,0.807692307692308,1.34615384615385,4.51923076923077,-4.6,0.554,0.556,-0.46,0.1,-3.31,-5.96,-3,-3.8,0
"12099",2012,"Wayne Ellington",0.0358872923988698,"SG",24,51,4,19.078431372549,9.4,0.487,0.358,0.132,1.6,9.7,5.6,5.5,1.4,0.7,7.5,15.8,0.3,0.5,0.8,0.041,-1.9,-0.7,-2.6,-0.2,0.404,0.324,0.448,0.462,0.8,0.274509803921569,1.66666666666667,0.647058823529412,0.509803921568627,0.196078431372549,0.509803921568627,1.09803921568627,6.09803921568627,-2.5,0.524,0.526,-0.87,-0.16,1.85,-3.27,-2.1,-2.3,-0.1
"2539",1995,"Ken Norman",0.10504347826087,"SF",30,74,27,25.3918918918919,14.8,0.511,0.333,0.164,6.2,16.5,11.2,9.2,1,0.8,9.5,24.5,0.9,2.2,3.2,0.081,-0.5,-1.7,-2.2,-0.1,0.453,0.344,0.508,0.511,0.457,1.39189189189189,3.5,1.27027027027027,0.459459459459459,0.27027027027027,1.2972972972973,2.08108108108108,12.6756756756757,-2,0.526,0.528,-1.35,-0.05,0.93,-1.68,-0.3,-1.3,0.2
"9960",2009,"Dwyane Wade",0.273482010398614,"SG",27,79,79,38.5822784810127,30.4,0.574,0.16,0.443,3.5,12.2,7.8,40.3,3,2.8,11.6,36.2,10.3,4.4,14.7,0.232,8.7,2,10.7,9.7,0.491,0.317,0.524,0.516,0.765,1.12658227848101,3.91139240506329,7.45569620253165,2.18987341772152,1.34177215189873,3.44303797468354,2.25316455696203,30.2025316455696,4,0.559,0.55,2.1,-0.06,-0.65,2.62,2.6,3.6,4.1
"1243",1992,"Robert Parish*",0.250928571428571,"C",38,79,79,28.9240506329114,18.9,0.571,0,0.265,11.1,22.4,17,4.4,1.5,2.5,11.8,20.8,3.8,3.6,7.4,0.155,0.3,0.6,1,1.7,0.535,0,0.535,0.535,0.772,2.77215189873418,6.15189873417722,0.886075949367089,0.860759493670886,1.22784810126582,1.65822784810127,2.17721518987342,14.1139240506329,0.9,0.544,0.54,0.26,-0.1,1.44,-0.55,0.8,0.9,1.8
"7891",2005,"Mateen Cleaves",0.00617745454545455,"PG",27,14,0,4.64285714285714,9.1,0.412,0.143,0.286,3.8,7.5,5.6,16.5,1.7,0,11.3,12.6,0,0,0,0.029,-2.7,-1.4,-4.1,0,0.357,0,0.417,0.357,0.75,0.142857142857143,0.285714285714286,0.5,0.142857142857143,0,0.142857142857143,0.142857142857143,0.928571428571429,-3.8,0.546,0.546,-0.74,-0.22,-1.89,-5.5,-4.4,-4.3,0
"10047",2009,"Jerryd Bayless",0.0371417677642981,"PG",20,53,0,12.3584905660377,8.2,0.487,0.143,0.545,1.5,9.4,5.4,18.2,1.4,0.2,19.3,20.9,-0.2,0.5,0.3,0.019,-3.8,-1.6,-5.4,-0.6,0.365,0.259,0.383,0.384,0.806,0.150943396226415,0.924528301886792,1.47169811320755,0.30188679245283,0.0377358490566038,1.05660377358491,1.52830188679245,4.30188679245283,3.1,0.541,0.537,1.02,-0.03,1.66,3.41,-0.7,1.4,2.4
"4420",1999,"Andrae Patterson",0.0113235294117647,"PF",23,35,0,8.11428571428571,14.5,0.505,0.052,0.371,11,14.9,12.8,8.6,3.5,1.9,16.3,20.9,0.2,0.5,0.7,0.114,-1.6,1.1,-0.5,0.1,0.443,0,0.467,0.443,0.778,0.857142857142857,1,0.428571428571429,0.542857142857143,0.2,0.628571428571429,1.77142857142857,3.25714285714286,-0.4,0.481,0.48,2.25,-0.05,0.14,0.28,-4,-2.8,-0.1
"4056",1998,"Duane Causwell",0.0484666666666667,"C",29,37,2,9.81081081081081,9.2,0.443,0,0.292,9.7,21.9,16,2.2,1.1,5.4,15.2,15.2,-0.2,0.7,0.5,0.069,-6.2,1.6,-4.6,-0.2,0.416,0,0.416,0.416,0.577,0.783783783783784,1.89189189189189,0.135135135135135,0.189189189189189,0.72972972972973,0.486486486486487,1.97297297297297,2.40540540540541,-4.4,0.537,0.539,1.15,-0.42,-0.05,-5.64,-2.8,-3.5,0
"826",1991,"Scott Williams",0.028,"PF",22,51,0,6.6078431372549,14.7,0.546,0.019,0.269,14.9,19.3,17.1,6.2,1.8,2.4,16.5,17.7,0.4,0.5,0.9,0.129,-1.2,0.2,-1,0.1,0.51,0.5,0.51,0.514,0.714,0.823529411764706,1.09803921568627,0.313725490196078,0.235294117647059,0.254901960784314,0.450980392156863,1,2.49019607843137,-0.6,0.56,0.561,0.65,-0.16,0.25,-1.82,-3,-2.3,0
"8609",2006,"Tim Duncan",0.328026197421662,"PF",29,80,80,34.8,23.1,0.523,0.004,0.45,10.1,26.9,18.7,16.5,1.4,4.2,12.2,27.7,3.9,6.9,10.8,0.187,0.2,4.3,4.6,4.6,0.484,0.4,0.485,0.485,0.629,2.8875,8.125,3.1625,0.875,2.025,2.475,2.7375,18.5625,4.3,0.546,0.552,1.24,-0.05,-2.88,2.75,2.5,3.6,4.1
"4986",2000,"Bryant Stith",0.166760563380282,"SG",29,45,6,15.3555555555556,13.8,0.568,0.296,0.407,3.6,9.7,6.6,13.7,1.3,1.2,12.9,16.1,1.2,0.4,1.6,0.11,0.1,-1.3,-1.2,0.1,0.455,0.304,0.519,0.5,0.831,0.511111111111111,1.35555555555556,1.35555555555556,0.4,0.266666666666667,0.733333333333333,1.24444444444444,5.62222222222222,-1.3,0.517,0.516,-0.67,0.16,1.98,-0.83,-2.8,-2.1,0
"9187",2008,"Al Harrington",0.157229890933879,"C",27,81,59,27.037037037037,15.6,0.547,0.442,0.206,5,16.9,10.7,8.9,1.6,0.5,8.2,21.1,3.7,1.7,5.4,0.118,1.6,-1.6,-0.1,1.1,0.434,0.375,0.482,0.517,0.774,1.32098765432099,4.09876543209877,1.62962962962963,0.91358024691358,0.197530864197531,1.11111111111111,3.28395061728395,13.6049382716049,0,0.548,0.548,-0.51,0,1.84,0.12,0.2,0.1,1.1
